County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Adams",2014,1,8022,156,8178,"Misdemeanor",5369,4650,719,286,250,36,5655,54159,52998,828003
"Adams",2014,190,3166,215,3381,"Felony",1846,1467,379,221,195,26,2067,54159,52998,828003
"Adams",2015,2,8018,308,8326,"Misdemeanor",5243,4512,731,369,335,34,5612,56921,55688,849660
"Adams",2015,191,3305,354,3659,"Felony",1916,1517,399,345,286,59,2261,56921,55688,849660
"Adams",2016,3,6789,1211,8000,"Misdemeanor",3672,3149,523,1307,1113,194,4979,63067,61508,849660
"Adams",2016,192,3307,713,4020,"Felony",1835,1444,391,720,619,101,2555,63067,61508,849660
"Alamosa",2014,4,317,112,429,"Misdemeanor",188,154,34,110,88,22,298,161,161,16436
"Alamosa",2014,193,212,84,296,"Felony",108,84,24,82,67,15,190,161,161,16436
"Alamosa",2015,5,367,122,489,"Misdemeanor",219,154,65,115,84,31,334,380,369,16307
"Alamosa",2015,194,260,86,346,"Felony",138,99,39,85,68,17,223,380,369,16307
"Alamosa",2016,6,328,184,512,"Misdemeanor",166,135,31,178,141,37,344,272,272,16307
"Alamosa",2016,195,341,215,556,"Felony",165,122,43,214,167,47,379,272,272,16307
"Arapahoe",2014,7,4405,3151,7556,"Misdemeanor",2589,2184,405,2091,1820,271,4680,15502,15197,315711
"Arapahoe",2014,196,2631,364,2995,"Felony",1501,1206,295,356,302,54,1857,15502,15197,315711
"Arapahoe",2015,8,3703,3890,7593,"Misdemeanor",2329,1976,353,2317,2049,268,4646,16124,15835,322928
"Arapahoe",2015,197,2482,668,3150,"Felony",1504,1226,278,668,565,103,2172,16124,15835,322928
"Arapahoe",2016,9,4693,2393,7086,"Misdemeanor",2099,1876,223,1583,1421,162,3682,16779,16491,320358
"Arapahoe",2016,198,2709,503,3212,"Felony",1692,1432,260,507,443,64,2199,16779,16491,320358
"Archuleta",2014,10,212,118,330,"Misdemeanor",135,118,17,119,100,19,254,419,416,12297
"Archuleta",2014,199,46,41,87,"Felony",30,22,8,42,33,9,72,419,416,12297
"Archuleta",2015,11,156,97,253,"Misdemeanor",114,95,19,93,71,22,207,423,413,12334
"Archuleta",2015,200,46,36,82,"Felony",31,22,9,36,28,8,67,423,413,12334
"Archuleta",2016,12,194,126,320,"Misdemeanor",128,99,29,127,97,30,255,371,370,12334
"Archuleta",2016,201,49,46,95,"Felony",32,21,11,47,27,20,79,371,370,12334
"Baca",2014,13,103,10,113,"Misdemeanor",55,51,4,10,10,NA,65,56,52,3677
"Baca",2014,202,27,3,30,"Felony",17,13,4,3,3,NA,20,56,52,3677
"Baca",2015,14,106,7,113,"Misdemeanor",51,43,8,7,6,1,58,62,56,3624
"Baca",2015,203,18,11,29,"Felony",13,8,5,10,10,NA,23,62,56,3624
"Baca",2016,15,105,7,112,"Misdemeanor",54,46,8,8,8,NA,62,72,71,3624
"Baca",2016,204,26,6,32,"Felony",10,9,1,6,4,2,16,72,71,3624
"Bent",2014,16,184,53,237,"Misdemeanor",151,114,37,49,36,13,200,147,139,7748
"Bent",2014,205,35,14,49,"Felony",28,17,11,15,10,5,43,147,139,7748
"Bent",2015,17,109,52,161,"Misdemeanor",74,60,14,46,40,6,120,113,109,7599
"Bent",2015,206,30,18,48,"Felony",24,16,8,16,13,3,40,113,109,7599
"Bent",2016,18,116,65,181,"Misdemeanor",70,53,17,59,42,17,129,227,225,7599
"Bent",2016,207,53,13,66,"Felony",35,25,10,12,6,6,47,227,225,7599
"Boulder",2014,19,2444,545,2989,"Misdemeanor",1444,1256,188,590,543,47,2034,12860,12560,306291
"Boulder",2014,208,1548,215,1763,"Felony",842,715,127,235,217,18,1077,12860,12560,306291
"Boulder",2015,20,2346,637,2983,"Misdemeanor",1331,1149,182,645,593,52,1976,14892,14442,309565
"Boulder",2015,209,1630,294,1924,"Felony",904,756,148,308,282,26,1212,14892,14442,309565
"Boulder",2016,21,2275,860,3135,"Misdemeanor",1265,1086,179,848,758,90,2113,17017,16580,309565
"Boulder",2016,210,1662,536,2198,"Felony",898,763,135,550,496,54,1448,17017,16580,309565
"Broomfield",2014,22,1213,86,1299,"Misdemeanor",905,833,72,86,77,9,991,2144,2110,63935
"Broomfield",2014,211,285,11,296,"Felony",199,167,32,11,10,1,210,2144,2110,63935
"Broomfield",2015,23,1082,76,1158,"Misdemeanor",771,679,92,74,69,5,845,2370,2344,68158
"Broomfield",2015,212,275,17,292,"Felony",173,141,32,18,17,1,191,2370,2344,68158
"Broomfield",2016,24,826,262,1088,"Misdemeanor",518,453,65,264,233,31,782,3189,3152,63935
"Broomfield",2016,213,265,68,333,"Felony",170,140,30,69,61,8,239,3189,3152,63935
"Chaffee",2014,25,299,103,402,"Misdemeanor",196,171,25,103,95,8,299,580,570,18797
"Chaffee",2014,214,103,23,126,"Felony",67,58,9,25,24,1,92,580,570,18797
"Chaffee",2015,26,290,153,443,"Misdemeanor",175,152,23,158,136,22,333,560,548,18574
"Chaffee",2015,215,122,36,158,"Felony",60,50,10,36,29,7,96,560,548,18574
"Chaffee",2016,27,271,184,455,"Misdemeanor",149,119,30,175,146,29,324,669,656,18574
"Chaffee",2016,216,129,54,183,"Felony",56,42,14,57,44,13,113,669,656,18574
"Cheyenne",2014,28,41,6,47,"Misdemeanor",21,19,2,6,5,1,27,6,6,1915
"Cheyenne",2014,217,10,3,13,"Felony",5,4,1,2,2,NA,7,6,6,1915
"Cheyenne",2015,29,44,1,45,"Misdemeanor",24,23,1,1,1,NA,25,9,7,1887
"Cheyenne",2015,218,7,1,8,"Felony",7,7,NA,1,1,NA,8,9,7,1887
"Cheyenne",2016,30,71,8,79,"Misdemeanor",31,27,4,8,6,2,39,11,11,1887
"Cheyenne",2016,219,11,2,13,"Felony",10,7,3,1,1,NA,11,11,11,1887
"Clear Creek",2014,31,360,133,493,"Misdemeanor",215,190,25,24,19,5,239,456,425,9064
"Clear Creek",2014,220,79,4,83,"Felony",55,48,7,3,3,NA,58,456,425,9064
"Clear Creek",2015,32,382,141,523,"Misdemeanor",246,224,22,30,29,1,276,490,459,9525
"Clear Creek",2015,221,63,4,67,"Felony",41,33,8,4,2,2,45,490,459,9525
"Clear Creek",2016,33,393,122,515,"Misdemeanor",224,194,30,38,29,9,262,500,479,9525
