county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Adams",1,2014,8022,156,8178,"Misdemeanor",5369,4650,719,286,250,36,5655,8001
"Adams",2,2015,8018,308,8326,"Misdemeanor",5243,4512,731,369,335,34,5612,8001
"Adams",3,2016,6789,1211,8000,"Misdemeanor",3672,3149,523,1307,1113,194,4979,8001
"Adams",190,2014,3166,215,3381,"Felony",1846,1467,379,221,195,26,2067,8001
"Adams",191,2015,3305,354,3659,"Felony",1916,1517,399,345,286,59,2261,8001
"Adams",192,2016,3307,713,4020,"Felony",1835,1444,391,720,619,101,2555,8001
"Alamosa",4,2014,317,112,429,"Misdemeanor",188,154,34,110,88,22,298,8003
"Alamosa",5,2015,367,122,489,"Misdemeanor",219,154,65,115,84,31,334,8003
"Alamosa",6,2016,328,184,512,"Misdemeanor",166,135,31,178,141,37,344,8003
"Alamosa",193,2014,212,84,296,"Felony",108,84,24,82,67,15,190,8003
"Alamosa",194,2015,260,86,346,"Felony",138,99,39,85,68,17,223,8003
"Alamosa",195,2016,341,215,556,"Felony",165,122,43,214,167,47,379,8003
"Arapahoe",7,2014,4405,3151,7556,"Misdemeanor",2589,2184,405,2091,1820,271,4680,8005
"Arapahoe",8,2015,3703,3890,7593,"Misdemeanor",2329,1976,353,2317,2049,268,4646,8005
"Arapahoe",9,2016,4693,2393,7086,"Misdemeanor",2099,1876,223,1583,1421,162,3682,8005
"Arapahoe",196,2014,2631,364,2995,"Felony",1501,1206,295,356,302,54,1857,8005
"Arapahoe",197,2015,2482,668,3150,"Felony",1504,1226,278,668,565,103,2172,8005
"Arapahoe",198,2016,2709,503,3212,"Felony",1692,1432,260,507,443,64,2199,8005
"Archuleta",10,2014,212,118,330,"Misdemeanor",135,118,17,119,100,19,254,8007
"Archuleta",11,2015,156,97,253,"Misdemeanor",114,95,19,93,71,22,207,8007
"Archuleta",12,2016,194,126,320,"Misdemeanor",128,99,29,127,97,30,255,8007
"Archuleta",199,2014,46,41,87,"Felony",30,22,8,42,33,9,72,8007
"Archuleta",200,2015,46,36,82,"Felony",31,22,9,36,28,8,67,8007
"Archuleta",201,2016,49,46,95,"Felony",32,21,11,47,27,20,79,8007
"Baca",13,2014,103,10,113,"Misdemeanor",55,51,4,10,10,NA,65,8009
"Baca",14,2015,106,7,113,"Misdemeanor",51,43,8,7,6,1,58,8009
"Baca",15,2016,105,7,112,"Misdemeanor",54,46,8,8,8,NA,62,8009
"Baca",202,2014,27,3,30,"Felony",17,13,4,3,3,NA,20,8009
"Baca",203,2015,18,11,29,"Felony",13,8,5,10,10,NA,23,8009
"Baca",204,2016,26,6,32,"Felony",10,9,1,6,4,2,16,8009
