fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR
8001,2014,"Adams",8022.0,156,8178.0,"misdemeanorbondtype",17,59316,1982,12.9
8001,2014,"Adams",3166.0,215,3381.0,"felonybondtype",17,59316,1982,12.9
8001,2015,"Adams",8018.0,308,8326.0,"misdemeanorbondtype",17,62991,1881,12.8
8001,2015,"Adams",3305.0,354,3659.0,"felonybondtype",17,62991,1881,12.8
8001,2016,"Adams",6789.0,1211,8000.0,"misdemeanorbondtype",17,65442,2165,11.7
8001,2016,"Adams",3307.0,713,4020.0,"felonybondtype",17,65442,2165,11.7
8003,2014,"Alamosa",317.0,112,429.0,"misdemeanorbondtype",12,38140,3801,22.5
8003,2014,"Alamosa",212.0,84,296.0,"felonybondtype",12,38140,3801,22.5
8003,2015,"Alamosa",367.0,122,489.0,"misdemeanorbondtype",12,40067,4003,24.0
8003,2015,"Alamosa",260.0,86,346.0,"felonybondtype",12,40067,4003,24.0
8003,2016,"Alamosa",328.0,184,512.0,"misdemeanorbondtype",12,37057,3598,24.8
8003,2016,"Alamosa",341.0,215,556.0,"felonybondtype",12,37057,3598,24.8
8005,2014,"Arapahoe",4405.0,3151,7556.0,"misdemeanorbondtype",18,65359,1878,11.2
8005,2014,"Arapahoe",2631.0,364,2995.0,"felonybondtype",18,65359,1878,11.2
8005,2015,"Arapahoe",3703.0,3890,7593.0,"misdemeanorbondtype",18,67062,1540,9.2
8005,2015,"Arapahoe",2482.0,668,3150.0,"felonybondtype",18,67062,1540,9.2
8005,2016,"Arapahoe",4693.0,2393,7086.0,"misdemeanorbondtype",18,70866,1891,9.0
8005,2016,"Arapahoe",2709.0,503,3212.0,"felonybondtype",18,70866,1891,9.0
8007,2014,"Archuleta",212.0,118,330.0,"misdemeanorbondtype",6,44508,4378,14.7
8007,2014,"Archuleta",46.0,41,87.0,"felonybondtype",6,44508,4378,14.7
8007,2015,"Archuleta",156.0,97,253.0,"misdemeanorbondtype",6,50361,4972,13.1
8007,2015,"Archuleta",46.0,36,82.0,"felonybondtype",6,50361,4972,13.1
8007,2016,"Archuleta",194.0,126,320.0,"misdemeanorbondtype",6,51998,5440,12.0
8007,2016,"Archuleta",49.0,46,95.0,"felonybondtype",6,51998,5440,12.0
8009,2014,"Baca",103.0,10,113.0,"misdemeanorbondtype",15,36294,3793,20.0
8009,2014,"Baca",27.0,3,30.0,"felonybondtype",15,36294,3793,20.0
8009,2015,"Baca",106.0,7,113.0,"misdemeanorbondtype",15,35405,3623,20.8
8009,2015,"Baca",18.0,11,29.0,"felonybondtype",15,35405,3623,20.8
8009,2016,"Baca",105.0,7,112.0,"misdemeanorbondtype",15,34070,3263,20.2
8009,2016,"Baca",26.0,6,32.0,"felonybondtype",15,34070,3263,20.2
8011,2014,"Bent",184.0,53,237.0,"misdemeanorbondtype",16,35424,3674,32.3
8011,2014,"Bent",35.0,14,49.0,"felonybondtype",16,35424,3674,32.3
8011,2015,"Bent",109.0,52,161.0,"misdemeanorbondtype",16,36630,3771,36.7
8011,2015,"Bent",30.0,18,48.0,"felonybondtype",16,36630,3771,36.7
8011,2016,"Bent",116.0,65,181.0,"misdemeanorbondtype",16,33951,3399,34.1
8011,2016,"Bent",53.0,13,66.0,"felonybondtype",16,33951,3399,34.1
