state,year,medianHI,IncarcerationRate,total_pop
"AL",1989,0,NaN,0
"AL",1989,0,NaN,0
"AL",1989,0,NaN,0
"AL",1989,0,NaN,0
"AL",1989,26277,3.4166687273836315e-3,485268
"AL",1989,15146,2.731891159941101e-3,211209
"AL",1989,34557,2.2631106937999195e-3,332286
"AL",1989,21776,3.16929435734159e-3,958573
"AL",1989,19611,2.990781886162348e-3,553367
"AL",1989,24125,3.3699150574026146e-3,1446624
"AL",1995,23267,4.5935963895107415e-3,335467
"AL",1995,31547,6.205642025245606e-3,307301
"AL",1995,28377,4.46448047698684e-3,1100240
"AL",1995,32633,4.900795843926164e-3,723760
"AL",1995,35316,3.3865324527101613e-3,267235
"AL",1995,18432,3.642488863047549e-3,116953
"AL",1995,44882,3.2757478679288562e-3,388003
"AL",1995,30275,5.315601680353205e-3,205433
"AL",1995,26392,4.042545374884513e-3,734933
"AL",1995,33993,2.672840872333543e-3,117478
"AL",1997,24038,4.905033238366572e-3,210600
"AL",1997,33018,2.913966815236526e-3,133495
"AL",1997,29794,4.658162950797936e-3,859781
"AL",1997,33812,3.426811906102043e-3,60406
"AL",1997,36655,3.7978669900494005e-3,212751
"AL",1997,19706,3.9072921776699115e-3,116193
"AL",1997,46274,3.3493793134523387e-3,399477
"AL",1997,31342,4.575255884156408e-3,614829
"AL",1997,27219,4.5790099358645085e-3,681370
"AL",1997,35266,5.567948338929393e-3,1079033
"AL",1998,25605,4.994365331420961e-3,273308
"AL",1998,35623,2.2734720629198754e-3,48824
"AL",1998,31555,4.4434141344506e-3,823916
"AL",1998,35969,6.322673147872917e-3,285955
"AL",1998,38322,4.210165535001343e-3,215906
"AL",1998,20900,3.789892476806201e-3,116626
"AL",1998,48709,3.44218499236701e-3,408752
"AL",1998,33294,4.754418734503686e-3,601756
"AL",1998,28749,4.967411127469549e-3,768207
"AL",1998,36566,5.656728407386598e-3,861452
"AL",1999,25573,4.9653390066466295e-3,280142
"AL",1999,35702,6.428365523205535e-3,936630
"AL",1999,32008,4.657739974340017e-3,1037413
"AL",1999,36198,3.94344069128044e-3,63650
"AL",1999,43718,4.222896105834513e-3,274693
"AL",1999,21022,4.6478464098027306e-3,113601
"AL",1999,56634,2.2846649869752746e-3,140502
"AL",1999,33575,5.48544637624536e-3,383925
"AL",1999,28945,5.2365810159882425e-3,764812
"AL",1999,38500,4.318622604198357e-3,420736
"AL",2000,0,NaN,0
"AL",2000,0,NaN,0
"AL",2000,0,NaN,0
"AL",2000,0,NaN,0
"AL",2000,45289,4.692153142438367e-3,322027
"AL",2000,23028,5.159591897941161e-3,180053
"AL",2000,59451,2.1220122482270482e-3,144674
"AL",2000,33822,5.0043406055508485e-3,1443347
"AL",2000,29516,5.358012165188294e-3,975735
"AL",2000,37986,6.064182085596792e-3,1386337
"AL",2001,0,NaN,0
"AL",2001,0,NaN,0
"AL",2001,32920,5.076103474416978e-3,1444415
"AL",2001,38760,4.932313652599402e-3,178618
"AL",2001,46036,4.457990103617188e-3,281517
"AL",2001,23911,5.127396636915106e-3,279089
"AL",2001,59840,2.0621593754603035e-3,149358
"AL",2001,36744,6.8648788483224345e-3,1001183
"AL",2001,29150,5.523351767669456e-3,863425
"AL",2001,40726,4.3503108197944975e-3,257223
"AL",2002,0,NaN,0
"AL",2002,0,NaN,0
"AL",2002,0,NaN,0
"AL",2002,0,NaN,0
"AL",2002,46937,4.5210324013140665e-3,286439
"AL",2002,25930,5.513911292448156e-3,663957
"AL",2002,61393,2.1886527770561648e-3,153976
"AL",2002,36616,7.27875049145009e-3,1134398
"AL",2002,32018,5.224661558528603e-3,1799351
"AL",2002,40299,4.722061325706839e-3,441968
"AL",2003,27974,5.60663471530228e-3,506186
"AL",2003,38264,6.6908589673263285e-3,710970
"AL",2003,33342,4.899733842621752e-3,1230475
"AL",2003,38713,4.327616605225197e-3,68629
"AL",2003,42548,4.0336410134057055e-3,268244
"AL",2003,22632,5.41462402407076e-3,154212
"AL",2003,53030,3.460844348470001e-3,451046
"AL",2003,35548,7.29110050166559e-3,528041
"AL",2003,31211,5.4130010984334955e-3,404212
"AL",2003,40319,4.441358636954749e-3,181476
"AL",2004,0,NaN,0
"AL",2004,0,NaN,0
"AL",2004,0,NaN,0
"AL",2004,0,NaN,0
"AL",2004,43145,4.168329403228732e-3,275650
"AL",2004,24991,5.731280746712556e-3,267305
"AL",2004,53943,3.543470911029622e-3,461412
