urbanicity,year,medianHI,IncarcerationRate,total_pop
"rural",1989,160,0.1271162835452782,197457
"rural",1989,112,0.1716735078314864,6879920
"rural",1989,88,0.2624482909696487,4957548
"rural",1989,71,0.24345057781372356,2326961
"rural",1989,142,0.12667244341964193,1361780
"rural",1989,123,0.14139986451865447,3413016
"rural",1989,170,0.170870070398469,14631
"rural",1989,101,0.22817275434180662,6192238
"rural",1989,132,0.11654411176864572,1688631
"rural",1989,203,0.0,3642
"rural",1995,129,0.22028469248727287,3189055
"rural",1995,161,0.32531585431647436,124187
"rural",1995,118,0.22487790963275303,4662530
"rural",1995,90,0.3796418757323867,4523737
"rural",1995,109,0.2612365612661542,7863371
"rural",1995,66,0.3266822534669955,843021
"rural",1995,143,0.19286939939204623,2119569
"rural",1995,99,0.33344030027678706,6204409
"rural",1995,80,0.433674819718239,2663747
"rural",1995,185,0.24778030146603344,96860
"rural",1997,0,NaN,0
"rural",1997,0,NaN,0
"rural",1997,0,NaN,0
"rural",1997,0,NaN,0
"rural",1997,0,NaN,0
"rural",1997,123,0.2251078859575246,5360985
"rural",1997,107,0.2583202010556594,10241940
"rural",1997,75,0.438974695283353,3196084
"rural",1997,142,0.23088166097977145,2280389
"rural",1997,92,0.3618585436893072,7370007
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,0,NaN,0
"rural",1998,106,0.3336813539267433,28823007
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,0,NaN,0
"rural",1999,135,0.24964669561418137,5367185
"rural",1999,87,0.4373195005162022,10362218
"rural",1999,109,0.2893184813637328,14837628
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
"rural",2000,0,NaN,0
