year,medianHI,IncarcerationRate,total_pop
1989,83,0.2581137367456076,7678398
1989,128,0.3112257575983495,30447994
1989,106,0.26525291683803576,20020138
1989,137,0.21675687489554274,12056365
1989,179,0.16832443867260571,14028266
1989,68,0.24737400382015726,4144332
1989,212,0.11176526397079051,5660077
1989,117,0.3383822802822731,32913662
1989,95,0.2798232231092996,15868590
1989,155,0.1867854635620921,16211647
1995,110,0.41249474951575593,23343085
1995,133,0.37662862631859584,43727956
1995,119,0.46559188530706497,58076184
1995,88,0.4916555721716251,17744536
1995,180,0.21505943727365082,18382825
1995,208,0.13667404261807023,7345945
1995,156,0.24593178387572104,22699384
1995,100,0.3639920529936739,23670297
1995,277,7.946084346213839e-2,101937
1995,73,0.4392215721336618,6617389
1997,0,NaN,0
1997,0,NaN,0
1997,0,NaN,0
1997,157,0.24043433812678305,26164316
1997,221,0.11496823625824014,2356303
1997,185,0.20085753779936352,15199330
1997,130,0.3664042997786149,41333849
1997,81,0.47684390364395723,15327238
1997,98,0.3996918972391241,34002941
1997,115,0.47040338093245027,66752709
1998,0,NaN,0
1998,0,NaN,0
1998,0,NaN,0
1998,0,NaN,0
1998,0,NaN,0
1998,0,NaN,0
1998,121,0.46097877005880594,98203004
1998,93,0.4558851460229032,49807940
1998,191,0.20262276901143558,20111264
1998,153,0.26488274854316196,35142719
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,0,NaN,0
1999,125,0.4005691059136832,208158090
2000,0,NaN,0
2000,0,NaN,0
2000,0,NaN,0
2000,0,NaN,0
2000,0,NaN,0
2000,0,NaN,0
2000,156,0.27033449094167744,34433638
2000,95,0.486180399648568,55800275
2000,195,0.20853673282869892,17184982
2000,122,0.45087300726326074,98144487
2001,158,0.2663162884420245,19419015
2001,81,0.6149664527300581,15836311
2001,181,0.20742526088993132,16647442
2001,208,0.2199149133222548,6703047
2001,96,0.44153525472105926,27019360
2001,122,0.46674821862307775,63225951
2001,138,0.3451768413746224,31211248
2001,109,0.4781772461520226,34413599
2001,0,0.0,138
2001,245,0.14494454593042805,1388807
2002,0,NaN,0
2002,0,NaN,0
2002,0,NaN,0
2002,0,NaN,0
2002,0,NaN,0
2002,194,0.20340641259769765,23689027
2002,124,0.43815726749764433,81101017
2002,106,0.48904806643852994,52494840
2002,153,0.2837591246224596,35822989
2002,86,0.5403855934395541,31738818
2003,0,NaN,0
2003,0,NaN,0
2003,0,NaN,0
2003,0,NaN,0
2003,0,NaN,0
2003,0,NaN,0
