year,state,CrimeRate,ImprisonedPerCrimeRate
1983,"AL",6.329051387273672e-2,2.2085790751846163e-2
1983,"CA",9.852163169333741e-2,1.602630719002352e-2
1983,"CO",9.77856098832687e-2,1.0173705705530708e-2
1983,"IL",7.988570560537972e-2,1.6799735262645995e-2
1983,"KY",4.9432671242450654e-2,1.6938605562012134e-2
1983,"MA",6.851817690277026e-2,8.678537608853074e-3
1983,"MD",7.822947325534838e-2,1.9955445523386826e-2
1983,"MI",9.643634722384875e-2,1.0369188494437796e-2
1983,"MN",6.410171443493017e-2,8.871636764359918e-3
1983,"MO",7.456364049015946e-2,7.640723040566775e-3
1983,"MS",4.5511160665165376e-2,2.2886983431113405e-2
1983,"ND",4.4446720127718345e-2,2.5580433626750162e-2
1983,"NE",6.750695375996213e-2,1.1487954997899659e-2
1983,"NH",4.941760250718203e-2,2.6071944473804744e-3
1983,"PA",4.897304614507735e-2,8.445838711725247e-3
1983,"RI",7.640035146075878e-2,1.6573224077382785e-2
1983,"SD",4.6181183404556174e-2,2.9332068825362417e-2
1983,"WI",6.565088010394095e-2,1.2386732904438705e-2
1983,"WV",3.9541258076964944e-2,1.0214760214760215e-2
1983,"WY",6.316375347058009e-2,1.4516375490246014e-2
1984,"AL",6.021139178168697e-2,2.172580224367336e-2
1984,"CA",9.543931273569835e-2,1.7644765352444514e-2
1984,"CO",9.798093716987444e-2,1.0970623557828546e-2
1984,"GA",6.537874936451449e-2,4.8029473800846066e-2
1984,"HI",8.228702443218457e-2,4.074951239899693e-3
1984,"IL",4.4664082532893445e-2,2.90408141171376e-2
1984,"KY",4.6621546820553285e-2,2.5432273262661956e-2
1984,"MA",6.2099930691197784e-2,1.2013133276785026e-2
1984,"MD",5.324151719802757e-2,2.6496595686629543e-2
1984,"ME",5.450058352795304e-2,1.9080258616498955e-2
1984,"MI",0.10070792954600215,1.261307840215191e-2
1984,"MN",6.194897637490926e-2,9.437089320880535e-3
1984,"MO",5.269734798997215e-2,2.4408930999917e-2
1984,"MS",4.580772469255311e-2,4.3749413861014726e-2
1984,"NC",5.8988871619341604e-2,4.306054035955919e-2
1984,"ND",4.4888178474253124e-2,2.1328757048296152e-2
1984,"NE",6.032634153345683e-2,1.2271494625124373e-2
1984,"NH",4.664891559136115e-2,7.090122613588317e-3
1984,"NJ",7.200184077853643e-2,1.6776139391943206e-2
1984,"NY",8.698824826687498e-2,1.3851700180255859e-2
