urbanicity,year,CrimeRate,ImprisonedPerCrimeRate
"rural",1983,4.0111960860183794e-2,1.8819522466178996e-9
"rural",1984,3.988234168426321e-2,3.309598142195838e-9
"rural",1985,4.304559607805187e-2,3.1744793393587844e-9
"rural",1986,4.419074347114715e-2,3.3419615269102917e-9
"rural",1987,4.663302241161697e-2,3.419428130754109e-9
"rural",1988,4.608130740116775e-2,3.4960820535723346e-9
"rural",1989,4.7520570905375537e-2,4.036341701675626e-9
"rural",1990,4.6987490304809226e-2,5.040589071501608e-9
"rural",1991,4.6402834023600244e-2,4.9715114689990114e-9
"rural",1992,4.564334022808232e-2,5.315271596114486e-9
"rural",1994,4.446156243392636e-2,4.979540535439647e-9
"rural",1995,4.460124950237711e-2,5.337840175134291e-9
"rural",1996,4.231827152415346e-2,5.476231793986012e-9
"rural",1997,4.106875446729538e-2,5.737592173500025e-9
"rural",1998,3.865047502153345e-2,6.654850021609142e-9
"rural",1999,3.75208670983648e-2,6.721077147251492e-9
"rural",2000,3.768779783301491e-2,6.911043687656786e-9
"rural",2001,3.838562702043094e-2,8.09582938491869e-9
"rural",2002,3.894474253250216e-2,8.28847253617825e-9
"rural",2003,3.8192228655734246e-2,8.701021094674808e-9
"rural",2004,3.913004913918856e-2,8.458664571641385e-9
"rural",2005,3.864849785103506e-2,9.170225587549454e-9
"rural",2006,3.781410889129016e-2,9.571692104747869e-9
"rural",2007,3.795004133501091e-2,9.691781410620048e-9
"rural",2008,3.880485195905396e-2,9.393971893157515e-9
"rural",2009,3.7888115695949603e-2,9.739716095471362e-9
"rural",2010,3.794560917517009e-2,9.586327466006962e-9
"rural",2011,3.853457995054286e-2,9.311131158686023e-9
"rural",2012,3.829939184423377e-2,9.206384902532382e-9
"rural",2013,3.628624838120279e-2,1.0258367830505322e-8
"rural",2014,3.46893852472742e-2,1.0581251725902123e-8
"small/mid",1983,7.039584672021011e-2,1.396093410142501e-9
"small/mid",1984,6.836954123656906e-2,2.018629388693619e-9
"small/mid",1985,7.330091106335554e-2,2.0347079546646428e-9
"small/mid",1986,7.729109101064045e-2,2.1167744914548836e-9
"small/mid",1987,7.883040346680778e-2,2.3391001940987396e-9
"small/mid",1988,7.840346465950307e-2,2.393781244235596e-9
"small/mid",1989,8.23487023013002e-2,2.974180081482265e-9
"small/mid",1990,8.18418454757899e-2,3.131659312480492e-9
"small/mid",1991,8.185977173547487e-2,3.2158484466804023e-9
"small/mid",1992,8.109450191423936e-2,3.3927930608922456e-9
"small/mid",1994,7.77029204638808e-2,3.439457441671102e-9
"small/mid",1995,7.582499899084498e-2,3.6406843016691297e-9
"small/mid",1996,7.088263045763643e-2,3.840412392937118e-9
"small/mid",1997,7.180707672198411e-2,3.903833204385319e-9
"small/mid",1998,6.667230648033219e-2,4.385851591142107e-9
"small/mid",1999,6.309092463917607e-2,4.58873278920682e-9
"small/mid",2000,6.1732917292424874e-2,4.769630087351792e-9
"small/mid",2001,6.397342613043766e-2,5.184521702794601e-9
"small/mid",2002,6.354292112635153e-2,5.278676549821533e-9
"small/mid",2003,6.278524078467483e-2,5.506231684094097e-9
"small/mid",2004,6.154740423004581e-2,5.737747511350748e-9
"small/mid",2005,6.074666974143612e-2,6.062255640126827e-9
"small/mid",2006,5.93053007504996e-2,6.4754159767581235e-9
"small/mid",2007,5.738315182122751e-2,6.765749412837205e-9
"small/mid",2008,5.709817905174788e-2,6.6604709303825426e-9
"small/mid",2009,5.528591244128437e-2,6.842396127699469e-9
"small/mid",2010,5.318788906325906e-2,6.618438774179992e-9
"small/mid",2011,5.30569937308528e-2,6.319570602266616e-9
"small/mid",2012,5.256726109331929e-2,5.781369357635366e-9
"small/mid",2013,5.0734053678332384e-2,6.244592059934755e-9
"small/mid",2014,4.8438036915700686e-2,6.1945651981402785e-9
"suburban",1983,6.255514230632483e-2,1.0514730988732256e-9
"suburban",1984,5.519702714331074e-2,1.7005029886446395e-9
"suburban",1985,6.392083639293442e-2,1.6504199785107542e-9
"suburban",1986,6.374664617656946e-2,1.6997297756557706e-9
"suburban",1987,6.298191382282142e-2,1.9022689321727238e-9
"suburban",1988,6.365892737655841e-2,1.969355163746135e-9
"suburban",1989,6.896629350359482e-2,2.6457767548048227e-9
"suburban",1990,6.890814199381619e-2,2.8465404648071936e-9
"suburban",1991,6.98527446393485e-2,2.7472709032487453e-9
"suburban",1992,6.781313475278992e-2,2.8765481422293245e-9
"suburban",1994,6.202088964464365e-2,3.1503935096389936e-9
"suburban",1995,5.848845615523557e-2,3.445319846138359e-9
"suburban",1996,5.2267024596770864e-2,3.8996446481975456e-9
"suburban",1997,5.310546307183832e-2,3.838123671719436e-9
"suburban",1998,5.08388150880522e-2,4.0955983957924334e-9
"suburban",1999,4.4660568445840806e-2,4.5422183403407774e-9
"suburban",2000,4.3887267660601095e-2,4.596950956867864e-9
"suburban",2001,4.4686513422678896e-2,4.6061817317433985e-9
"suburban",2002,4.5545368091137156e-2,4.776966512699036e-9
"suburban",2003,4.468949468724365e-2,4.796945787180543e-9
"suburban",2004,4.422000046044626e-2,5.0559974992454615e-9
"suburban",2005,4.3607645020604255e-2,5.29003687943837e-9
"suburban",2006,4.28664632123972e-2,5.681081250652484e-9
"suburban",2007,4.225509076557429e-2,5.813114924313646e-9
"suburban",2008,4.278586612294477e-2,5.583940088638154e-9
"suburban",2009,4.054897410684708e-2,5.828267835265291e-9
"suburban",2010,3.9556738331466945e-2,5.650007743937876e-9
"suburban",2011,3.888612511772937e-2,5.371190517468851e-9
"suburban",2012,3.786056997185653e-2,5.0265406441316715e-9
"suburban",2013,3.5934728418631136e-2,5.52216294951614e-9
"suburban",2014,3.417307124179202e-2,5.651399291767348e-9
"urban",1983,0.10557376298190528,1.4586910267071072e-9
"urban",1984,9.702629850807232e-2,1.8231742169286192e-9
"urban",1985,0.10994603998463942,1.889447601452884e-9
"urban",1986,0.11542306118140198,2.175157636554474e-9
"urban",1987,0.11429848892080341,2.367333076407412e-9
"urban",1988,0.11963158444896792,2.598600697126315e-9
"urban",1989,0.12224332703223056,2.971903542479385e-9
"urban",1990,0.12101596833098688,3.4658586164361853e-9
"urban",1991,0.12301395133412849,3.3398066621641864e-9
"urban",1992,0.11659471646174308,3.5162369580359402e-9
"urban",1994,0.10502954801195323,3.877098351167195e-9
"urban",1995,9.869812617888912e-2,4.531534557727933e-9
"urban",1996,9.358114264739571e-2,4.5222631255363925e-9
"urban",1997,8.998363292066539e-2,4.661953624585996e-9
"urban",1998,8.327734613484811e-2,5.060541474241895e-9
"urban",1999,7.550179629041749e-2,5.342315700848623e-9
"urban",2000,7.507350502890926e-2,5.277817440029396e-9
"urban",2001,7.52261358944101e-2,5.2479519711057405e-9
"urban",2002,7.523854897681798e-2,5.287203365708541e-9
"urban",2003,7.324023529537509e-2,5.370070877608932e-9
"urban",2004,7.085836866342775e-2,5.664256288546867e-9
"urban",2005,7.04618211091874e-2,5.8108226268478545e-9
"urban",2006,6.870291885376019e-2,6.076378827393026e-9
"urban",2007,6.695871641784476e-2,6.145138090993031e-9
"urban",2008,6.553732554440102e-2,6.18156344925919e-9
"urban",2009,6.1578970544355446e-2,6.131720771110933e-9
"urban",2010,5.897822079863897e-2,5.943808931169654e-9
"urban",2011,5.779663374929309e-2,5.55014097918837e-9
"urban",2012,5.711103888588112e-2,4.607002985451354e-9
"urban",2013,5.5033030018207564e-2,4.747699603285887e-9
"urban",2014,5.215757298802187e-2,4.320903184790635e-9
