state,year,medianHI,IncarcerationRate,total_pop
"AL",1989,73,1.322860686233981e-3,36285
"AL",1989,80,1.971803214039239e-3,60858
"AL",1989,77,2.4012623779358293e-3,87454
"AL",1989,89,2.9387530898104916e-3,36410
"AL",1989,89,3.2357601534484196e-3,59955
"AL",1989,76,3.6583621165362057e-3,48929
"AL",1989,75,4.095055891979066e-3,63247
"AL",1989,96,1.7011334057510606e-3,97582
"AL",1989,94,1.830738276930885e-3,55169
"AL",1989,93,2.4324670336704646e-3,23433
"AL",1989,94,2.859717162220394e-3,51054
"AL",1989,94,3.0382130172450683e-3,23369
"AL",1989,96,4.398669670636198e-3,46605
"AL",1989,97,4.9713038557917715e-3,74226
"AL",1989,100,1.4654102130950684e-3,49133
"AL",1989,100,1.9397761415788951e-3,121148
"AL",1989,103,2.0792263708672926e-3,101961
"AL",1989,102,2.8042181760733046e-3,75957
"AL",1989,104,2.238224990268587e-3,51380
"AL",1989,104,4.494933631763846e-3,378871
"AL",1989,109,1.8001354230318244e-3,60551
"AL",1989,108,2.1704022079997265e-3,117029
"AL",1989,106,3.1596678860127386e-3,100327
"AL",1989,112,4.297994269340974e-3,85854
"AL",1989,114,1.624925846637951e-3,38771
"AL",1989,114,2.2268924314134218e-3,175581
"AL",1989,113,2.852772860849989e-3,116378
"AL",1989,113,3.060751897867542e-3,148983
"AL",1989,116,2.095071496857393e-3,49163
"AL",1989,116,3.813884867202733e-3,653402
"AL",1989,118,5.910194776230361e-3,80708
"AL",1989,124,1.2451911461334028e-3,53807
"AL",1989,124,1.8395255960304974e-3,82630
"AL",1989,123,3.0686233264866736e-3,40409
"AL",1989,121,5.218270625047699e-3,209648
"AL",1989,135,2.237430902869176e-3,98774
"AL",1989,159,2.6719256950187673e-3,235785
"AL",1989,176,1.2642356037761266e-3,96501
"AL",1995,89,1.722323222658119e-3,20902
"AL",1995,76,2.520040842041233e-3,46031
"AL",1995,73,3.0659632986158075e-3,44358
"AL",1995,73,3.731007821630855e-3,66738
"AL",1995,86,3.953097037848233e-3,37439
"AL",1995,92,4.7406130474600015e-3,37126
"AL",1995,91,5.0414788337912455e-3,37489
"AL",1995,86,6.050932653596017e-3,125931
"AL",1995,72,7.085994226226927e-3,11431
"AL",1995,98,1.6543623467129888e-3,48357
"AL",1995,98,2.6060470250396303e-3,120489
"AL",1995,92,2.962962962962963e-3,24975
"AL",1995,94,3.423784374430887e-3,27455
"AL",1995,98,4.641223413135664e-3,29949
"AL",1995,99,5.622477587109893e-3,64918
"AL",1995,97,6.895949720670391e-3,114560
"AL",1995,101,2.124491878418843e-3,59779
"AL",1995,100,2.329474124703585e-3,71690
"AL",1995,103,4.195564688757599e-3,116790
"AL",1995,101,4.6217764338569705e-3,40677
"AL",1995,101,5.388760585065435e-3,40269
"AL",1995,105,5.176095939747008e-3,395665
"AL",1995,103,5.9604072619257e-3,102342
"AL",1995,108,2.067445267467174e-3,73037
"AL",1995,107,2.619675315665325e-3,180175
"AL",1995,107,3.686298787179559e-3,35537
"AL",1995,109,4.439013441731714e-3,160396
"AL",1995,115,1.997276441216523e-3,44060
"AL",1995,110,3.1768321458580323e-3,86879
"AL",1995,111,4.03020336313522e-3,43174
"AL",1995,110,6.137685388284064e-3,99386
"AL",1995,115,8.609536355296276e-3,85022
"AL",1995,119,3.3309875674407694e-3,85260
"AL",1995,118,7.309460865335681e-3,222041
"AL",1995,128,1.997469871496105e-3,60076
"AL",1995,123,3.29552155964894e-3,57654
"AL",1995,131,3.4543029299480246e-3,217410
"AL",1995,123,5.039738420011229e-3,666106
"AL",1995,135,3.2454512389603367e-3,107227
"AL",1995,157,3.8983785005367332e-3,265495
"AL",1995,193,1.9264048062167369e-3,122508
"AL",1997,83,2.9419934846839566e-3,79198
"AL",1997,79,3.51531130202888e-3,65997
"AL",1997,81,4.2793446879751266e-3,117074
"AL",1997,89,5.262922487439059e-3,67073
"AL",1997,81,6.127706984193302e-3,14361
"AL",1997,84,7.5713163113844155e-3,80171
"AL",1997,97,1.8575944152322743e-3,66753
"AL",1997,97,2.715326223391084e-3,117113
"AL",1997,96,4.582229541061073e-3,27934
"AL",1997,93,5.191372882155836e-3,42378
"AL",1997,98,5.914927358297524e-3,156384
"AL",1997,100,7.08485476047741e-3,36698
"AL",1997,102,2.233676975945017e-3,40740
"AL",1997,101,2.6376133163829056e-3,84167
"AL",1997,105,3.3371194226381336e-3,99487
"AL",1997,102,6.104730035271773e-3,154798
"AL",1997,101,6.766493327485746e-3,15961
"AL",1997,107,5.478529442069577e-3,397917
"AL",1997,110,2.1872182037950155e-3,52121
"AL",1997,109,2.646162260417756e-3,124331
"AL",1997,109,3.243793898450485e-3,37302
"AL",1997,108,4.1874904054445905e-3,117254
"AL",1997,110,4.623408006509759e-3,162218
"AL",1997,116,1.7851450430347465e-3,47055
"AL",1997,113,2.5400951058865227e-3,33857
"AL",1997,115,3.4951771973555867e-3,184540
"AL",1997,113,5.498320478898084e-3,106578
"AL",1997,114,8.536079623997788e-3,86808
"AL",1997,120,3.426811906102043e-3,60406
"AL",1997,126,3.831669654163035e-3,60809
"AL",1997,123,7.091406305855437e-3,223792
"AL",1997,126,3.8643557358409393e-3,130164
"AL",1997,128,1.9868292448446587e-3,62411
"AL",1997,131,3.8314176245210726e-3,41238
"AL",1997,126,5.547459760217262e-3,664268
"AL",1997,154,3.968342852876395e-3,267870
"AL",1997,132,4.821176513721105e-3,109102
"AL",1997,187,2.089554506979112e-3,131607
"AL",1998,71,2.339485313231089e-3,26929
"AL",1998,87,2.96576747120997e-3,63390
"AL",1998,76,3.567977402809782e-3,26906
"AL",1998,85,3.9330941781562e-3,69411
"AL",1998,79,4.329209524260954e-3,63291
"AL",1998,91,5.123491463684488e-3,117498
"AL",1998,76,6.606606606606606e-3,11655
"AL",1998,82,7.851686719339081e-3,61006
"AL",1998,97,2.405367768071908e-3,47394
"AL",1998,99,2.958747416404768e-3,70638
"AL",1998,96,4.351784009414063e-3,45039
"AL",1998,96,5.054210483410777e-3,98136
"AL",1998,99,5.795918367346939e-3,24500
"AL",1998,95,6.5957191985901754e-3,116894
"AL",1998,100,7.688545968267768e-3,36808
"AL",1998,102,2.307314678448699e-3,61110
"AL",1998,101,2.7935891718909845e-3,76246
"AL",1998,106,3.3373399319102074e-3,148921
"AL",1998,101,6.247185413013692e-3,104367
"AL",1998,101,7.278222999980114e-3,50287
"AL",1998,107,5.536050833293599e-3,398479
"AL",1998,110,2.397311990335246e-3,52976
"AL",1998,111,2.8872527789808e-3,76197
"AL",1998,111,3.4568143371987545e-3,81578
"AL",1998,110,3.8049810661229247e-3,54928
"AL",1998,109,4.113365022742983e-3,117179
"AL",1998,114,8.711657844493478e-3,87469
"AL",1998,122,2.2734720629198754e-3,48824
"AL",1998,115,3.0272035897520497e-3,121234
"AL",1998,114,4.565176150932312e-3,163411
"AL",1998,114,5.5668752728860425e-3,109936
"AL",1998,122,3.32085985971392e-3,61731
"AL",1998,123,7.149100899100899e-3,224224
"AL",1998,131,2.0555790927207396e-3,63729
"AL",1998,127,3.6818303531581924e-3,134444
"AL",1998,128,3.860229129441891e-3,104657
"AL",1998,125,6.236671447512781e-3,664457
"AL",1998,155,4.1092676632526635e-3,272798
"AL",1998,131,5.523707425207366e-3,110071
"AL",1998,190,2.1036527060623446e-3,135954
"AL",1999,83,2.652759774515419e-3,66346
"AL",1999,80,3.124690991792742e-3,50565
"AL",1999,88,3.976519598560878e-3,36967
"AL",1999,69,4.249645862844763e-3,12001
"AL",1999,85,4.515113268187319e-3,76853
"AL",1999,85,5.138892177990385e-3,42227
"AL",1999,91,6.0248923182622946e-3,37843
"AL",1999,86,6.5153211849740406e-3,29469
"AL",1999,80,7.558339643422593e-3,72635
"AL",1999,94,2.71878198567042e-3,31264
"AL",1999,98,3.111822015413698e-3,34385
"AL",1999,98,3.41493562951091e-3,95463
"AL",1999,94,4.22651241090297e-3,27919
"AL",1999,97,5.437748132538055e-3,106294
"AL",1999,98,6.46481178396072e-3,24440
"AL",1999,96,8.09533896353874e-3,108581
"AL",1999,103,2.3645605456183248e-3,62168
"AL",1999,101,2.8147752111081408e-3,63593
"AL",1999,107,3.355960643734269e-3,131110
"AL",1999,101,5.58001116002232e-3,16129
"AL",1999,102,6.67489251140113e-3,183973
"AL",1999,110,3.011336797354747e-3,169360
"AL",1999,108,4.698599852616065e-3,169625
"AL",1999,109,5.571400733405374e-3,112898
"AL",1999,111,2.9823088282132206e-3,34537
"AL",1999,110,5.802320427323244e-3,399323
"AL",1999,112,3.310880237470031e-3,87590
"AL",1999,113,4.145006526667735e-3,43667
"AL",1999,116,4.981388219837968e-3,164412
"AL",1999,114,9.24583031182016e-3,88256
"AL",1999,120,2.567828492943448e-3,50237
"AL",1999,120,7.3228121029935405e-3,223548
"AL",1999,122,6.4192986293929956e-3,662845
"AL",1999,128,2.373612823674476e-3,64880
"AL",1999,128,3.8965694602471983e-3,128318
"AL",1999,134,4.180146123368834e-3,137555
"AL",1999,128,5.728743110147285e-3,110670
"AL",1999,149,4.222896105834513e-3,274693
"AL",1999,135,4.771547610734819e-3,42963
"AL",1999,193,2.2846649869752746e-3,140502
"AL",2000,76,2.3669235030467843e-3,59571
"AL",2000,87,3.264499318648078e-3,66779
"AL",2000,78,3.74871619308456e-3,58420
"AL",2000,84,4.308337214718212e-3,34352
"AL",2000,84,4.838709677419355e-3,37200
"AL",2000,86,5.342064449422712e-3,29015
"AL",2000,89,6.4242682731780135e-3,37514
"AL",2000,80,6.89979047756665e-3,55364
"AL",2000,81,7.446209792631716e-3,46198
"AL",2000,95,3.2029140237392452e-3,15923
"AL",2000,96,3.766133013611679e-3,141790
"AL",2000,93,4.686129917920853e-3,69567
"AL",2000,97,5.536185450433472e-3,42448
"AL",2000,100,6.068747151526782e-3,41689
"AL",2000,96,7.278259796866648e-3,24319
"AL",2000,97,7.769559611861302e-3,58948
"AL",2000,93,1.0741893384198373e-2,49805
"AL",2000,103,2.6252251561721535e-3,52186
"AL",2000,101,3.0454791553871144e-3,88656
"AL",2000,105,3.530310934258574e-3,82429
"AL",2000,102,6.670797591154658e-3,103286
"AL",2000,102,6.9702372109146735e-3,80772
"AL",2000,107,3.2008683324472797e-3,180576
"AL",2000,109,3.935132967391032e-3,39897
"AL",2000,107,4.0911322435769224e-3,54997
"AL",2000,106,5.223945248202373e-3,115430
"AL",2000,105,5.2844320810939765e-3,111081
"AL",2000,109,2.4086712163789645e-3,34874
"AL",2000,110,2.9305194288894694e-3,88039
"AL",2000,112,5.048187241854061e-3,43580
"AL",2000,111,5.676665820305416e-3,165414
"AL",2000,119,2.7393507738665934e-3,51107
"AL",2000,112,5.878927095805016e-3,400073
"AL",2000,114,9.331819255028502e-3,88943
