urbanicity,year,medianHI,IncarcerationRate,total_pop
"rural",1989,60,3.8369168241697343e-4,70369
"rural",1989,67,7.10098717645257e-4,71821
"rural",1989,71,9.580148675531358e-4,191020
"rural",1989,72,1.1719216817076133e-3,259403
"rural",1989,73,1.4687150103580673e-3,220601
"rural",1989,67,1.8027998080776722e-3,283448
"rural",1989,74,2.173913043478261e-3,234600
"rural",1989,75,2.6720915776642204e-3,371619
"rural",1989,74,3.3587018724228115e-3,560931
"rural",1989,75,5.287043443428863e-3,439376
"rural",1989,88,3.784295175023652e-4,89845
"rural",1989,84,6.715743251969521e-4,116145
"rural",1989,86,9.31370348758921e-4,178232
"rural",1989,84,1.2027718926553672e-3,181248
"rural",1989,86,1.4497885126988077e-3,208996
"rural",1989,86,1.8009404453309486e-3,242651
"rural",1989,87,2.2048851159679685e-3,378251
"rural",1989,87,2.6678358899185034e-3,458424
"rural",1989,87,3.349585380835381e-3,208384
"rural",1989,86,5.142376280848722e-3,632198
"rural",1989,94,3.165616534258667e-4,164265
"rural",1989,93,6.975715140945886e-4,192095
"rural",1989,93,9.673794831429618e-4,166429
"rural",1989,93,1.1369544197888375e-3,205813
"rural",1989,94,1.5464232180524564e-3,147437
"rural",1989,93,1.7731178967020488e-3,415652
"rural",1989,93,2.2185596275207512e-3,301547
"rural",1989,93,2.7479679500159093e-3,311139
"rural",1989,93,3.3567367597824274e-3,341403
"rural",1989,94,4.906785043728319e-3,429813
"rural",1989,99,2.422732149655626e-4,86679
"rural",1989,99,6.830601092896175e-4,161040
"rural",1989,99,9.75006471281889e-4,347690
"rural",1989,98,1.2330089875956325e-3,134630
"rural",1989,99,1.4447115655932912e-3,354396
"rural",1989,99,1.8685869055679984e-3,153592
"rural",1989,100,2.1938944158322936e-3,375132
"rural",1989,98,2.766124070034122e-3,357540
"rural",1989,99,3.352827367865623e-3,363872
"rural",1989,99,5.295394137058771e-3,389395
"rural",1989,104,4.3808751497187383e-4,214569
"rural",1989,104,6.42661804922516e-4,219400
"rural",1989,104,9.421527083572927e-4,226078
"rural",1989,104,1.1742032647955993e-3,235053
"rural",1989,104,1.437803698392445e-3,265683
"rural",1989,103,1.759241571411436e-3,225097
"rural",1989,104,2.1662874201291192e-3,512859
"rural",1989,104,2.6791160324684464e-3,213130
"rural",1989,104,3.531896863663214e-3,323339
"rural",1989,104,4.661191616196848e-3,283833
"rural",1989,102,6.61625708884688e-2,529
"rural",1989,109,3.9401448222119097e-4,456836
"rural",1989,109,6.803478432973368e-4,242523
"rural",1989,109,9.906371034871801e-4,290722
"rural",1989,108,1.199995450254217e-3,175834
"rural",1989,109,1.4173756205008699e-3,313255
"rural",1989,108,1.8048545889740798e-3,361802
"rural",1989,109,2.083971317555072e-3,251443
"rural",1989,108,2.7103928382648987e-3,177834
"rural",1989,108,3.5857631920670524e-3,271072
"rural",1989,109,4.294602766701815e-3,143203
"rural",1989,113,4.8794211511917217e-4,454972
"rural",1989,113,7.102717265589921e-4,367465
"rural",1989,113,8.955009525257774e-4,236739
"rural",1989,113,1.149841040187325e-3,262645
"rural",1989,114,1.5485176250875417e-3,257020
"rural",1989,113,1.7885065802277745e-3,298014
"rural",1989,113,2.286628756491432e-3,316186
"rural",1989,113,2.5265666598788756e-3,132591
"rural",1989,113,3.4465288055144463e-3,150006
"rural",1989,113,4.987644244938675e-3,220545
"rural",1989,119,2.787149162399278e-4,480778
"rural",1989,118,6.513609325691697e-4,267133
"rural",1989,119,9.071949197084496e-4,416669
