year,medianHI,IncarcerationRate,total_pop
1989,82,5.697588551348324e-4,1256672
1989,81,1.0394843943902538e-3,1498820
1989,78,1.3198907944310246e-3,1494063
1989,81,1.6982339973588979e-3,1493316
1989,81,2.208106009938106e-3,3069599
1989,83,2.6679967671003435e-3,2223391
1989,80,3.061119103833064e-3,832702
1989,80,3.686070378129034e-3,1417770
1989,84,4.605689955974328e-3,1270168
1989,83,5.788341666003755e-3,1332506
1989,98,5.740421929173532e-4,1837844
1989,98,1.0269695520677598e-3,1486899
1989,99,1.347935030650141e-3,1072752
1989,98,1.7166042446941324e-3,865080
1989,98,2.1563038179486715e-3,2091542
1989,98,2.7553836797704627e-3,1923870
1989,98,3.1304803154404677e-3,886126
1989,97,3.771641567305085e-3,2374828
1989,96,4.456656960450587e-3,1097235
1989,98,5.353482701346433e-3,2263760
1989,93,6.61625708884688e-2,529
1989,107,5.658378583817037e-4,2820596
1989,107,1.0240921436819052e-3,1462759
1989,105,1.3092498849516796e-3,434600
1989,106,1.6916660124545113e-3,1184631
1989,107,2.148174026834253e-3,1980752
1989,106,2.686373566357182e-3,1171840
1989,105,3.1353199341248696e-3,927816
1989,107,3.8887311239852833e-3,3197444
1989,107,4.613655988178636e-3,1660722
1989,106,6.273238412636926e-3,1048103
1989,115,5.868683565318064e-4,1562531
1989,114,1.0446276660845942e-3,580111
1989,113,1.3694481327744476e-3,2208919
1989,114,1.6442480082068589e-3,834424
1989,114,2.167134440214347e-3,667702
1989,114,2.7604948866480727e-3,1538130
1989,114,3.046245130613754e-3,792451
1989,116,3.5109881559017837e-3,1754207
1989,116,4.673785991437444e-3,1734996
1989,116,5.410918951629254e-3,3847036
1989,120,5.999829525138953e-4,903359
1989,119,1.0354301648486837e-3,390176
1989,120,1.3085774959106953e-3,174235
1989,120,1.5439199446598995e-3,1277916
1989,121,2.1901439575704004e-3,760224
1989,120,2.757174478661023e-3,283261
1989,119,3.047323311679836e-3,1018927
1989,119,3.935148748622698e-3,1257894
1989,118,4.2698105146913865e-3,8171557
1989,120,5.273507588647063e-3,2067694
1989,125,6.950515718579189e-4,1238757
1989,125,1.0294109419669581e-3,714972
1989,124,1.3763637750820173e-3,655350
1989,124,1.65212760690074e-3,989633
1989,125,2.210091494180885e-3,1219859
1989,123,2.5786095010143038e-3,1312723
1989,123,3.1040838835420855e-3,1323740
1989,124,3.757135234720279e-3,496655
1989,126,5.510782675455409e-3,3769519
1989,130,6.545009527055288e-4,774636
1989,130,1.0579020622430758e-3,1051137
1989,129,1.325345254516145e-3,240692
1989,130,1.6978756138169404e-3,1518368
1989,129,2.0174190500705756e-3,1767605
1989,129,2.743214729792245e-3,3171097
1989,128,2.997290900837999e-3,6197263
1989,130,3.8285560806894697e-3,2122210
1989,129,4.455957444540386e-3,844263
1989,131,6.192162581302224e-3,2160150
1989,138,7.326624016361754e-4,962244
1989,140,1.053135839163021e-3,2083302
1989,139,1.3710770417367346e-3,2157428
1989,135,1.6041028295664225e-3,1916336
1989,141,2.121044206378525e-3,2273880
1989,141,2.7302999254843517e-3,1889536
1989,145,2.9437057806750125e-3,1745419
1989,137,3.4724739799183862e-3,1917077
1989,140,4.577230711905457e-3,1180845
1989,163,5.899688015277238e-4,1388209
1989,158,1.0949909484295054e-3,4135194
1989,160,1.3215086332289475e-3,2337480
1989,159,1.6885666638657543e-3,2868113
1989,158,2.081602974689718e-3,1353284
1989,162,2.724017599311765e-3,1362326
1989,172,3.1871383017387828e-3,1216138
1989,158,3.6361537573588827e-3,675714
1989,197,6.870189311069428e-4,2730638
1989,198,1.028482431265866e-3,2342286
1989,192,1.3061435429090333e-3,5162526
1989,183,1.7200652858855073e-3,3002793
1989,192,2.1481036633251723e-3,779292
1989,179,2.719210510299814e-3,870841
1989,180,2.9291656680521375e-3,1072319
1989,179,3.9478062247641655e-3,111201
1989,235,6.754610910711154e-4,421934
1995,82,8.732641902000961e-4,1457749
1995,83,1.5836800142151205e-3,1868433
1995,83,2.065269746800186e-3,2215207
1995,79,2.508972245661858e-3,2088106
1995,84,3.2018399146050295e-3,2120968
1995,83,3.889740600489139e-3,2875256
1995,84,4.583785554850204e-3,1220825
1995,82,5.082773123874261e-3,947711
1995,84,5.8681194401705265e-3,1672938
1995,85,9.603213231779774e-3,5701425
1995,64,0.14828209764918626,553
1995,99,9.227586514824912e-4,3225112
1995,99,1.5571755115014795e-3,1711432
1995,99,2.037531167981564e-3,1280962
1995,99,2.55643196379553e-3,2417823
1995,98,3.1078941643518316e-3,1590466
1995,98,3.899149119168329e-3,2888066
1995,100,4.666749031677879e-3,2031607
1995,100,5.2013405702995095e-3,2548766
1995,98,5.952046216728392e-3,2240574
1995,98,7.23766810121993e-3,2234145
1995,107,8.914629167420776e-4,2375870
1995,107,1.508565442786088e-3,1626711
1995,107,1.9703929655467012e-3,997263
1995,108,2.592146324856358e-3,3104763
1995,108,3.1444669622697967e-3,1176352
1995,108,3.7669139896879394e-3,2619651
1995,107,4.576649251161806e-3,467591
1995,109,5.066917093360959e-3,1610052
1995,108,6.01073530308192e-3,3789553
1995,110,7.1494469137149035e-3,4400760
1995,113,8.641425217916298e-4,1036866
1995,115,1.4890375769161838e-3,1339120
1995,114,1.8976353323616158e-3,1579334
1995,114,2.5609152155921682e-3,1203476
1995,115,3.1102390408964337e-3,1074837
1995,113,3.7313275456047237e-3,711275
1995,115,4.672043847597243e-3,1631834
1995,116,5.330761330486255e-3,9786407
1995,115,5.686445697644286e-3,1296592
1995,115,7.550821080725347e-3,1864433
1995,118,9.450608005871442e-4,1193574
1995,119,1.5475305045107356e-3,633267
1995,118,2.0091986019965453e-3,521601
1995,118,2.593062522185055e-3,1569187
1995,118,3.1902216411383625e-3,1684209
1995,119,3.923410196367348e-3,1422487
1995,119,4.6393753408256735e-3,2532453
1995,118,4.9899056005311224e-3,3386036
1995,118,6.045846866969736e-3,9522570
1995,119,7.496742681673247e-3,152733
1995,123,9.822086300421903e-4,627158
1995,124,1.6017236470719056e-3,1268009
1995,123,2.1195398578740237e-3,1643753
1995,125,2.6042806495382327e-3,2010536
1995,125,3.174200258026993e-3,811543
1995,123,3.6507066631637636e-3,3364828
1995,124,4.457838782970261e-3,5282829
1995,122,5.075590770455613e-3,1730833
1995,124,6.044287781792998e-3,901016
1995,123,7.73336798837131e-3,4155240
1995,129,9.266653607967816e-4,1061872
1995,129,1.6092621113131126e-3,1547293
1995,129,2.0742848676388297e-3,816667
1995,130,2.5435145136187055e-3,1366613
1995,129,3.2391348704346053e-3,392080
1995,129,3.987624582705312e-3,4498919
1995,129,4.644878110960875e-3,7593956
1995,130,5.011937057881364e-3,1290519
1995,131,5.597026410429725e-3,1624434
1995,130,8.140358573546617e-3,2443627
1995,138,9.935032363840913e-4,2167079
1995,141,1.6388674379917878e-3,3527436
1995,141,2.079297569245939e-3,3152026
1995,140,2.5424599781068615e-3,3123353
1995,141,3.141263738743757e-3,5250753
1995,140,3.862104678676782e-3,1336318
1995,141,4.466465488949901e-3,374793
1995,136,4.891952856480252e-3,756753
1995,134,5.914610052333929e-3,1118586
1995,140,6.5243170116593505e-3,1317226
1995,161,1.0335401382856673e-3,3095187
1995,155,1.5599270116420463e-3,4067498
1995,165,2.127468036687414e-3,2388285
1995,158,2.4521198859238044e-3,4437385
1995,162,2.9960349940765427e-3,5363422
1995,158,3.777303409257285e-3,2178803
1995,158,4.511109867353221e-3,625345
1995,153,5.624464929221335e-3,100454
1995,197,9.326264335610594e-4,5751499
1995,198,1.5324083010382192e-3,3818173
1995,186,2.0156404181449895e-3,7146612
1995,185,2.512742055676541e-3,2074626
1995,186,3.197813395946975e-3,2735932
1995,189,3.7762278155641237e-3,276996
1995,175,4.595988094366361e-3,232159
1995,173,5.072779411230898e-3,110196
1995,277,7.946084346213838e-4,101937
1997,84,9.369409463689147e-4,1366148
1997,82,1.5646940323253966e-3,1607343
1997,82,2.1019471233966604e-3,1860180
1997,83,2.6639524746356964e-3,2123161
1997,80,3.3209738502338786e-3,1765446
1997,82,3.826892371319761e-3,1780557
1997,82,4.6371566422365035e-3,1289799
1997,82,5.471181873769833e-3,2091687
1997,83,6.1215667505519445e-3,518168
1997,85,9.482404417276973e-3,5549120
1997,65,0.15970961887477314,551
1997,98,9.174643155227741e-4,2354315
1997,97,1.6380930822304373e-3,1307618
1997,97,2.13595368799752e-3,1696666
1997,97,2.652924554863938e-3,1782938
1997,96,3.2713835887144597e-3,1500894
1997,95,3.857956713567884e-3,3802531
1997,96,4.54429756041744e-3,856458
1997,96,5.4643308900162255e-3,2550358
1997,99,6.153377503617394e-3,262620
1997,98,7.150256373635928e-3,3346873
1997,105,9.478691687992408e-4,2534105
1997,105,1.5699096420380334e-3,2126874
1997,107,2.117345651270047e-3,1664348
1997,106,2.5889903970293497e-3,2033225
1997,107,3.2069683449338668e-3,2018729
1997,106,3.7963975829583686e-3,1814615
1997,105,4.477144999182643e-3,2128812
1997,103,5.586987417313626e-3,1922324
1997,109,6.117305381225797e-3,479296
1997,107,7.25297947427586e-3,2310223
1997,113,9.303749764462032e-4,849120
1997,112,1.708298926507019e-3,775040
1997,112,2.091531620859542e-3,645460
1997,112,2.5824143471202296e-3,1188810
1997,113,3.2317503215702668e-3,1215131
1997,112,3.8435189905684426e-3,251072
1997,112,4.5137192125143935e-3,890175
1997,112,5.392609305028544e-3,4797492
1997,113,6.193328029205896e-3,943919
1997,111,7.051031495185456e-3,3113587
1997,116,9.77029694964591e-4,1038863
1997,117,1.5668996511036778e-3,861574
1997,116,2.0097893031540623e-3,1736998
1997,116,2.5389901858849187e-3,1971650
1997,116,3.24487963035435e-3,753803
1997,116,3.912024304385392e-3,1605307
1997,118,4.531654412093964e-3,2009862
